module	symbol	kind	signature_or_shape	compatibility_requirement	oracle_source	port_status	evidence
requests	__all__	export tuple	25 named exports	Preserve names, order, and import identity	src/requests/__init__.py	VERIFIED	oracle: src/requests/__init__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: API snapshot; review: accepted compatibility commits through 4d01c2c
requests	request	function	(method, url, **kwargs)	Preserve keyword forwarding and temporary Session close	api.py:request	VERIFIED	oracle: api.py:request; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: unchanged tests + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests	get	function	(url, params=None, **kwargs)	Preserve default redirects	api.py:get	VERIFIED	oracle: api.py:get; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: unchanged tests + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests	options	function	(url, **kwargs)	Preserve default redirects	api.py:options	VERIFIED	oracle: api.py:options; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: unchanged tests + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests	head	function	(url, **kwargs)	Default allow_redirects is False	api.py:head	VERIFIED	oracle: api.py:head; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: unchanged tests + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests	post	function	(url, data=None, json=None, **kwargs)	Preserve data/json precedence	api.py:post	VERIFIED	oracle: api.py:post; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: unchanged tests + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests	put	function	(url, data=None, **kwargs)	Preserve keyword forwarding	api.py:put	VERIFIED	oracle: api.py:put; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: unchanged tests + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests	patch	function	(url, data=None, **kwargs)	Preserve keyword forwarding	api.py:patch	VERIFIED	oracle: api.py:patch; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: unchanged tests + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests	delete	function	(url, **kwargs)	Preserve keyword forwarding	api.py:delete	VERIFIED	oracle: api.py:delete; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: unchanged tests + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests	Request	class	exported models.Request	Preserve class identity	src/requests/__init__.py	VERIFIED	oracle: src/requests/__init__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: import identity snapshot; review: accepted compatibility commits through 4d01c2c
requests	PreparedRequest	class	exported models.PreparedRequest	Preserve class identity	src/requests/__init__.py	VERIFIED	oracle: src/requests/__init__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: import identity snapshot; review: accepted compatibility commits through 4d01c2c
requests	Response	class	exported models.Response	Preserve class identity	src/requests/__init__.py	VERIFIED	oracle: src/requests/__init__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: import identity snapshot; review: accepted compatibility commits through 4d01c2c
requests	Session	class	exported sessions.Session	Preserve class identity	src/requests/__init__.py	VERIFIED	oracle: src/requests/__init__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: import identity snapshot; review: accepted compatibility commits through 4d01c2c
